field1,field2,field3,field4,field5,field6,field7,field8
10/01/16,10:02,Internet,gebruik,(441,kB),Û,0
10/01/16,18:02,Internet,gebruik,(127,kB),Û,0
11/01/16,02:02,Internet,gebruik,(649,kB),Û,0
11/01/16,10:02,Internet,gebruik,(191,kB),Û,0
11/01/16,18:02,Internet,gebruik,(161,kB),Û,0
12/01/16,02:02,Internet,gebruik,(100,kB),Û,0
12/01/16,08:26,Internet,gebruik,(6396,kB),Û,0
12/01/16,16:26,Internet,gebruik,(173,kB),Û,0
12/01/16,18:44,Internet,gebruik,(60,kB),Û,0
13/01/16,02:44,Internet,gebruik,(146,kB),Û,0
13/01/16,10:44,Internet,gebruik,(32,kB),Û,0
13/01/16,11:41,Internet,gebruik,(97,kB),Û,0
13/01/16,17:43,Internet,gebruik,(4356,kB),Û,0
14/01/16,01:43,Internet,gebruik,(100,kB),Û,0
14/01/16,09:43,Internet,gebruik,(312,kB),Û,0
14/01/16,17:43,Internet,gebruik,(201,kB),Û,0
15/01/16,01:43,Internet,gebruik,(1081,kB),Û,0
15/01/16,09:40,Internet,gebruik,(147,kB),Û,0
15/01/16,17:40,Internet,gebruik,(105,kB),Û,0
16/01/16,01:40,Internet,gebruik,(1845,kB),Û,0
16/01/16,09:40,Internet,gebruik,(193,kB),Û,0
16/01/16,17:22,Internet,gebruik,(14,kB),Û,0
16/01/16,17:56,Internet,gebruik,(373,kB),Û,0
16/01/16,20:11,Internet,gebruik,(578,kB),Û,0
17/01/16,04:11,Internet,gebruik,(243,kB),Û,0
17/01/16,09:33,Internet,gebruik,(2141,kB),Û,0
17/01/16,17:33,Internet,gebruik,(235,kB),Û,0
17/01/16,19:05,Internet,gebruik,(149,kB),Û,0
18/01/16,03:05,Internet,gebruik,(158,kB),Û,0
18/01/16,09:30,Internet,gebruik,(230,kB),Û,0
18/01/16,15:57,Internet,gebruik,(100,kB),Û,0
18/01/16,23:57,Internet,gebruik,(114,kB),Û,0
19/01/16,07:57,Internet,gebruik,(729,kB),Û,0
19/01/16,10:13,Internet,gebruik,(43,kB),Û,0
19/01/16,11:21,Internet,gebruik,(566,kB),Û,0
19/01/16,19:01,Internet,gebruik,(2,kB),Û,0
19/01/16,20:03,Internet,gebruik,(180,kB),Û,0
20/01/16,04:03,Internet,gebruik,(59,kB),Û,0
20/01/16,09:03,Internet,gebruik,(1769,kB),Û,0
20/01/16,17:03,Internet,gebruik,(234,kB),Û,0
20/01/16,21:04,Internet,gebruik,(1056,kB),Û,0
21/01/16,05:04,Internet,gebruik,(163,kB),Û,0
21/01/16,13:04,Internet,gebruik,(60001,kB),Û,0
21/01/16,17:48,Internet,gebruik,(19446,kB),Û,0
21/01/16,18:18,Internet,gebruik,(81,kB),Û,0
21/01/16,19:13,Internet,gebruik,(9067,kB),Û,0
22/01/16,03:13,Internet,gebruik,(206,kB),Û,0
22/01/16,09:11,Internet,gebruik,(70,kB),Û,0
22/01/16,12:05,Internet,gebruik,(65,kB),Û,0
22/01/16,16:28,Internet,gebruik,(15,kB),Û,0
22/01/16,17:02,Internet,gebruik,(1140,kB),Û,0
23/01/16,01:02,Internet,gebruik,(62,kB),Û,0
23/01/16,09:02,Internet,gebruik,(165,kB),Û,0
23/01/16,11:14,Internet,gebruik,(648,kB),Û,0
23/01/16,17:38,Internet,gebruik,(224,kB),Û,0
24/01/16,01:38,Internet,gebruik,(100,kB),Û,0
24/01/16,08:58,Internet,gebruik,(19,kB),Û,0
24/01/16,11:19,Internet,gebruik,(403,kB),Û,0
24/01/16,14:38,Internet,gebruik,(58,kB),Û,0
24/01/16,20:03,Internet,gebruik,(8935,kB),Û,0
25/01/16,04:03,Internet,gebruik,(203,kB),Û,0
25/01/16,08:09,Internet,gebruik,(1489,kB),Û,0
25/01/16,08:24,Internet,gebruik,(60002,kB),Û,0
25/01/16,08:30,Internet,gebruik,(60001,kB),Û,0
25/01/16,08:34,Internet,gebruik,(7665,kB),Û,0
25/01/16,09:09,Internet,gebruik,(104,kB),Û,0
25/01/16,10:15,Internet,gebruik,(432,kB),Û,0
25/01/16,13:34,Internet,gebruik,(2323,kB),Û,0
25/01/16,15:16,Internet,gebruik,(137,kB),Û,0
25/01/16,15:51,Internet,gebruik,(41635,kB),Û,0
25/01/16,18:04,Internet,gebruik,(1489,kB),Û,0
26/01/16,02:04,Internet,gebruik,(8199,kB),Û,0
26/01/16,10:04,Internet,gebruik,(60002,kB),Û,0
26/01/16,16:18,Internet,gebruik,(60001,kB),Û,0
26/01/16,16:21,Internet,gebruik,(37438,kB),Û,0
26/01/16,16:35,Internet,gebruik,(45,kB),Û,0
26/01/16,16:40,Internet,gebruik,(298,kB),Û,0
26/01/16,19:11,Internet,gebruik,(123,kB),Û,0
27/01/16,03:11,Internet,gebruik,(999,kB),Û,0
27/01/16,09:10,Internet,gebruik,(10,kB),Û,0
27/01/16,09:40,Internet,gebruik,(225,kB),Û,0
27/01/16,09:52,Internet,gebruik,(1451,kB),Û,0
27/01/16,17:40,Internet,gebruik,(1,kB),Û,0
27/01/16,18:57,Internet,gebruik,(643,kB),Û,0
28/01/16,02:57,Internet,gebruik,(635,kB),Û,0
28/01/16,10:57,Internet,gebruik,(32,kB),Û,0
28/01/16,11:24,Internet,gebruik,(9,kB),Û,0
28/01/16,11:52,Internet,gebruik,(50,kB),Û,0
28/01/16,15:37,Internet,gebruik,(8,kB),Û,0
28/01/16,16:47,Internet,gebruik,(42,kB),Û,0
28/01/16,18:11,Internet,gebruik,(281,kB),Û,0
29/01/16,02:11,Internet,gebruik,(112,kB),Û,0
29/01/16,08:58,Internet,gebruik,(129,kB),Û,0
29/01/16,15:26,Internet,gebruik,(8075,kB),Û,0
29/01/16,15:26,Internet,gebruik,(51857,kB),Û,7.6
29/01/16,20:41,Internet,gebruik,(40911,kB),Û,5.99
30/01/16,04:41,Internet,gebruik,(159,kB),Û,0.02
30/01/16,10:16,Internet,gebruik,(128,kB),Û,0.02
30/01/16,16:04,Internet,gebruik,(822,kB),Û,0.12
31/01/16,00:04,Internet,gebruik,(98,kB),Û,0.01
31/01/16,08:04,Internet,gebruik,(79,kB),Û,0.01
31/01/16,09:48,Internet,gebruik,(2559,kB),Û,0.38
31/01/16,17:48,Internet,gebruik,(609,kB),Û,0.09
02/12/15,15:59,Gesprek,naar,062374XXXX,5.78704E-05,Û,0
04/12/15,13:30,Gesprek,naar,065119XXXX,4.62963E-05,Û,0
04/12/15,14:14,Gesprek,naar,065119XXXX,0.000358796,Û,0
04/12/15,15:28,Gesprek,naar,633625401,0.007824074,Û,0
04/12/15,15:49,Gesprek,naar,065119XXXX,0.003194444,Û,0
05/12/15,16:30,Gesprek,naar,062374XXXX,4.62963E-05,Û,0
05/12/15,16:32,Gesprek,naar,062374XXXX,0.000115741,Û,0
07/12/15,09:31,Gesprek,naar,615422080,0.002141204,Û,0
07/12/15,16:33,Gesprek,naar,062374XXXX,1.15741E-05,Û,0
11/12/15,17:03,Gesprek,naar,062374XXXX,0.001157407,Û,0
12/12/15,19:21,Gesprek,naar,062374XXXX,2.31481E-05,Û,0
15/12/15,16:56,Gesprek,naar,062374XXXX,0.001967593,Û,0
16/12/15,10:27,Gesprek,naar,062374XXXX,0.000578704,Û,0
16/12/15,10:50,Gesprek,naar,631562787,8.10185E-05,Û,0
17/12/15,09:46,Gesprek,naar,065081XXXX,0.000671296,Û,0
01/12/15,01:57,Internet,gebruik,(225,kB),Û,0
01/12/15,09:57,Internet,gebruik,(31,kB),Û,0
01/12/15,11:23,Internet,gebruik,(80,kB),Û,0
01/12/15,13:01,Internet,gebruik,(254,kB),Û,0
01/12/15,21:01,Internet,gebruik,(168,kB),Û,0
02/12/15,05:01,Internet,gebruik,(62,kB),Û,0
02/12/15,08:23,Internet,gebruik,(128,kB),Û,0
02/12/15,11:42,Internet,gebruik,(198,kB),Û,0
02/12/15,15:59,Internet,gebruik,(16,kB),Û,0
02/12/15,16:00,Internet,gebruik,(305,kB),Û,0
03/12/15,00:00,Internet,gebruik,(133,kB),Û,0
03/12/15,08:00,Internet,gebruik,(120,kB),Û,0
03/12/15,13:06,Internet,gebruik,(1676,kB),Û,0
03/12/15,21:06,Internet,gebruik,(587,kB),Û,0
04/12/15,05:06,Internet,gebruik,(426,kB),Û,0
04/12/15,13:02,Internet,gebruik,(2,kB),Û,0
04/12/15,13:32,Internet,gebruik,(18,kB),Û,0
04/12/15,14:14,Internet,gebruik,(107,kB),Û,0
04/12/15,15:40,Internet,gebruik,(17,kB),Û,0
04/12/15,15:54,Internet,gebruik,(1198,kB),Û,0
04/12/15,23:54,Internet,gebruik,(193,kB),Û,0
05/12/15,07:54,Internet,gebruik,(127,kB),Û,0
05/12/15,11:42,Internet,gebruik,(320,kB),Û,0
05/12/15,16:35,Internet,gebruik,(458,kB),Û,0
06/12/15,00:35,Internet,gebruik,(167,kB),Û,0
06/12/15,08:25,Internet,gebruik,(250,kB),Û,0
06/12/15,16:25,Internet,gebruik,(568,kB),Û,0
07/12/15,00:25,Internet,gebruik,(366,kB),Û,0
07/12/15,08:25,Internet,gebruik,(29,kB),Û,0
07/12/15,09:31,Internet,gebruik,(120,kB),Û,0
07/12/15,11:13,Internet,gebruik,(187,kB),Û,0
07/12/15,15:32,Internet,gebruik,(619,kB),Û,0
07/12/15,18:15,Internet,gebruik,(290,kB),Û,0
08/12/15,00:31,Internet,gebruik,(137,kB),Û,0
08/12/15,08:31,Internet,gebruik,(76,kB),Û,0
08/12/15,11:24,Internet,gebruik,(494,kB),Û,0
08/12/15,19:40,Internet,gebruik,(195,kB),Û,0
09/12/15,03:40,Internet,gebruik,(972,kB),Û,0
09/12/15,11:40,Internet,gebruik,(1712,kB),Û,0
09/12/15,18:30,Internet,gebruik,(144,kB),Û,0
10/12/15,02:30,Internet,gebruik,(3432,kB),Û,0
10/12/15,10:30,Internet,gebruik,(580,kB),Û,0
10/12/15,16:45,Internet,gebruik,(9,kB),Û,0
10/12/15,17:20,Internet,gebruik,(61,kB),Û,0
10/12/15,18:28,Internet,gebruik,(298,kB),Û,0
11/12/15,02:28,Internet,gebruik,(193,kB),Û,0
11/12/15,10:28,Internet,gebruik,(220,kB),Û,0
11/12/15,17:03,Internet,gebruik,(15,kB),Û,0
11/12/15,17:32,Internet,gebruik,(89,kB),Û,0
11/12/15,19:28,Internet,gebruik,(161,kB),Û,0
12/12/15,03:28,Internet,gebruik,(160,kB),Û,0
12/12/15,11:28,Internet,gebruik,(201,kB),Û,0
12/12/15,19:22,Internet,gebruik,(189,kB),Û,0
13/12/15,03:22,Internet,gebruik,(151,kB),Û,0
13/12/15,11:21,Internet,gebruik,(1,kB),Û,0
13/12/15,12:05,Internet,gebruik,(211,kB),Û,0
13/12/15,20:05,Internet,gebruik,(114,kB),Û,0
14/12/15,04:05,Internet,gebruik,(180,kB),Û,0
14/12/15,11:14,Internet,gebruik,(466,kB),Û,0
14/12/15,19:14,Internet,gebruik,(200,kB),Û,0
15/12/15,03:14,Internet,gebruik,(326,kB),Û,0
15/12/15,11:17,Internet,gebruik,(2,kB),Û,0
15/12/15,11:51,Internet,gebruik,(10,kB),Û,0
15/12/15,13:17,Internet,gebruik,(137,kB),Û,0
15/12/15,16:59,Internet,gebruik,(1,kB),Û,0
15/12/15,17:28,Internet,gebruik,(156,kB),Û,0
16/12/15,01:28,Internet,gebruik,(161,kB),Û,0
16/12/15,09:28,Internet,gebruik,(48210,kB),Û,0
16/12/15,13:27,Internet,gebruik,(408,kB),Û,0
16/12/15,21:27,Internet,gebruik,(147,kB),Û,0
17/12/15,05:27,Internet,gebruik,(101,kB),Û,0
17/12/15,09:33,Internet,gebruik,(335,kB),Û,0
17/12/15,10:18,Internet,gebruik,(5522,kB),Û,0
17/12/15,13:50,Internet,gebruik,(1122,kB),Û,0
17/12/15,18:46,Internet,gebruik,(9,kB),Û,0
09/11/15,15:55,Gesprek,naar,062374XXXX,9.25926E-05,Û,0
09/11/15,15:55,Gesprek,naar,062374XXXX,0.001238426,Û,0
10/11/15,17:28,Gesprek,naar,644196718,8.10185E-05,Û,0
10/11/15,17:28,Gesprek,naar,644196718,0.001469907,Û,0
10/11/15,21:44,Gesprek,naar,631562787,0.002615741,Û,0
11/11/15,14:33,Gesprek,naar,631562787,8.10185E-05,Û,0
11/11/15,16:01,Gesprek,naar,062374XXXX,0.000266204,Û,0
13/11/15,15:13,Gesprek,naar,062374XXXX,0.001006944,Û,0
13/11/15,15:36,Gesprek,naar,644196718,0.001354167,Û,0
13/11/15,15:43,Gesprek,naar,062374XXXX,0.000335648,Û,0
13/11/15,15:47,Gesprek,naar,062374XXXX,0.000243056,Û,0
17/11/15,17:10,Gesprek,naar,062374XXXX,1.15741E-05,Û,0
23/11/15,18:10,Gesprek,naar,062305XXXX,0.007337963,Û,0
24/11/15,12:35,Gesprek,naar,062374XXXX,6.94444E-05,Û,0
27/11/15,20:14,Gesprek,naar,062374XXXX,4.62963E-05,Û,0
27/11/15,21:51,Gesprek,naar,062374XXXX,0.001539352,Û,0
28/11/15,19:19,Gesprek,naar,062374XXXX,0.002233796,Û,0
29/11/15,11:29,Gesprek,naar,062374XXXX,0.000266204,Û,0
30/11/15,09:46,Gesprek,naar,062374XXXX,5.78704E-05,Û,0
30/11/15,12:48,Gesprek,naar,640227419,0.009733796,Û,0
01/11/15,03:08,Internet,gebruik,(128,kB),Û,0
01/11/15,11:08,Internet,gebruik,(8,kB),Û,0
01/11/15,11:48,Internet,gebruik,(431,kB),Û,0
01/11/15,19:48,Internet,gebruik,(132,kB),Û,0
02/11/15,03:48,Internet,gebruik,(192,kB),Û,0
02/11/15,10:09,Internet,gebruik,(382,kB),Û,0
02/11/15,17:05,Internet,gebruik,(772,kB),Û,0
03/11/15,01:05,Internet,gebruik,(553,kB),Û,0
03/11/15,09:05,Internet,gebruik,(154,kB),Û,0
03/11/15,16:16,Internet,gebruik,(795,kB),Û,0
04/11/15,00:16,Internet,gebruik,(184,kB),Û,0
04/11/15,08:16,Internet,gebruik,(297,kB),Û,0
04/11/15,16:16,Internet,gebruik,(328,kB),Û,0
05/11/15,00:16,Internet,gebruik,(207,kB),Û,0
05/11/15,08:16,Internet,gebruik,(358,kB),Û,0
05/11/15,16:05,Internet,gebruik,(455,kB),Û,0
06/11/15,00:05,Internet,gebruik,(88,kB),Û,0
06/11/15,08:05,Internet,gebruik,(204,kB),Û,0
06/11/15,09:58,Internet,gebruik,(328,kB),Û,0
06/11/15,14:33,Internet,gebruik,(365,kB),Û,0
06/11/15,22:33,Internet,gebruik,(237,kB),Û,0
07/11/15,06:33,Internet,gebruik,(89,kB),Û,0
07/11/15,08:11,Internet,gebruik,(1754,kB),Û,0
07/11/15,16:11,Internet,gebruik,(30,kB),Û,0
07/11/15,17:30,Internet,gebruik,(732,kB),Û,0
08/11/15,01:30,Internet,gebruik,(65,kB),Û,0
08/11/15,09:30,Internet,gebruik,(765,kB),Û,0
08/11/15,17:30,Internet,gebruik,(18,kB),Û,0
08/11/15,17:58,Internet,gebruik,(3916,kB),Û,0
09/11/15,01:58,Internet,gebruik,(331,kB),Û,0
09/11/15,09:58,Internet,gebruik,(51,kB),Û,0
09/11/15,12:27,Internet,gebruik,(87,kB),Û,0
09/11/15,15:57,Internet,gebruik,(409,kB),Û,0
09/11/15,23:57,Internet,gebruik,(152,kB),Û,0
10/11/15,07:57,Internet,gebruik,(366,kB),Û,0
10/11/15,15:57,Internet,gebruik,(50,kB),Û,0
10/11/15,17:31,Internet,gebruik,(163,kB),Û,0
10/11/15,21:44,Internet,gebruik,(172,kB),Û,0
11/11/15,05:44,Internet,gebruik,(27270,kB),Û,0
11/11/15,13:44,Internet,gebruik,(13193,kB),Û,0
11/11/15,15:38,Internet,gebruik,(13764,kB),Û,0
11/11/15,23:38,Internet,gebruik,(141,kB),Û,0
12/11/15,07:38,Internet,gebruik,(689,kB),Û,0
12/11/15,15:11,Internet,gebruik,(405,kB),Û,0
12/11/15,23:11,Internet,gebruik,(152,kB),Û,0
13/11/15,07:11,Internet,gebruik,(229,kB),Û,0
13/11/15,15:11,Internet,gebruik,(1063,kB),Û,0
13/11/15,23:11,Internet,gebruik,(40,kB),Û,0
14/11/15,01:00,Internet,gebruik,(263,kB),Û,0
14/11/15,09:00,Internet,gebruik,(664,kB),Û,0
14/11/15,17:00,Internet,gebruik,(637,kB),Û,0
14/11/15,18:32,Internet,gebruik,(624,kB),Û,0
15/11/15,02:32,Internet,gebruik,(2654,kB),Û,0
15/11/15,08:36,Internet,gebruik,(124,kB),Û,0
15/11/15,09:07,Internet,gebruik,(60001,kB),Û,0
15/11/15,11:54,Internet,gebruik,(60002,kB),Û,0
15/11/15,11:59,Internet,gebruik,(6781,kB),Û,0
15/11/15,11:59,Internet,gebruik,(37007,kB),Û,5.42
15/11/15,11:59,Internet,gebruik,(356,kB),Û,0
15/11/15,12:30,Internet,gebruik,(684,kB),Û,0.1
15/11/15,20:30,Internet,gebruik,(426,kB),Û,0.06
16/11/15,04:30,Internet,gebruik,(991,kB),Û,0.15
16/11/15,12:30,Internet,gebruik,(673,kB),Û,0.1
16/11/15,20:30,Internet,gebruik,(1447,kB),Û,0.22
17/11/15,04:30,Internet,gebruik,(8175,kB),Û,1.2
17/11/15,11:38,Internet,gebruik,(40,kB),Û,0
17/11/15,14:21,Internet,gebruik,(59,kB),Û,0.01
17/11/15,17:09,Internet,gebruik,(379,kB),Û,0.06
18/11/15,01:09,Internet,gebruik,(607,kB),Û,0.09
18/11/15,09:09,Internet,gebruik,(240,kB),Û,0.04
18/11/15,17:09,Internet,gebruik,(193,kB),Û,0.02
19/11/15,01:09,Internet,gebruik,(285,kB),Û,0.04
19/11/15,09:09,Internet,gebruik,(256,kB),Û,0.04
19/11/15,17:09,Internet,gebruik,(256,kB),Û,0.04
20/11/15,01:09,Internet,gebruik,(284,kB),Û,0.04
20/11/15,08:56,Internet,gebruik,(107,kB),Û,0.01
20/11/15,11:39,Internet,gebruik,(113,kB),Û,0.01
20/11/15,13:43,Internet,gebruik,(2283,kB),Û,0.34
20/11/15,13:50,Internet,gebruik,(778,kB),Û,0.11
20/11/15,19:01,Internet,gebruik,(298,kB),Û,0.05
21/11/15,03:01,Internet,gebruik,(388,kB),Û,0.06
21/11/15,10:26,Internet,gebruik,(432,kB),Û,0.06
21/11/15,18:26,Internet,gebruik,(154,kB),Û,0.02
22/11/15,02:26,Internet,gebruik,(170,kB),Û,0.02
22/11/15,10:26,Internet,gebruik,(172,kB),Û,0.02
22/11/15,16:01,Internet,gebruik,(341,kB),Û,0.05
23/11/15,00:01,Internet,gebruik,(152,kB),Û,0.02
23/11/15,08:01,Internet,gebruik,(145,kB),Û,0.02
23/11/15,15:28,Internet,gebruik,(9,kB),Û,0
23/11/15,16:22,Internet,gebruik,(65,kB),Û,0.01
23/11/15,17:20,Internet,gebruik,(27,kB),Û,0
23/11/15,18:10,Internet,gebruik,(1,kB),Û,0
23/11/15,18:20,Internet,gebruik,(115,kB),Û,0.01
24/11/15,02:04,Internet,gebruik,(200,kB),Û,0.03
24/11/15,10:04,Internet,gebruik,(58,kB),Û,0.01
24/11/15,12:18,Internet,gebruik,(2,kB),Û,0
24/11/15,12:40,Internet,gebruik,(129,kB),Û,0.02
24/11/15,17:28,Internet,gebruik,(195,kB),Û,0.02
25/11/15,01:28,Internet,gebruik,(183,kB),Û,0.02
25/11/15,09:28,Internet,gebruik,(1897,kB),Û,0.28
25/11/15,17:28,Internet,gebruik,(399,kB),Û,0.06
25/11/15,22:26,Internet,gebruik,(144,kB),Û,0.02
26/11/15,06:26,Internet,gebruik,(153,kB),Û,0.02
26/11/15,14:03,Internet,gebruik,(562,kB),Û,0.08
26/11/15,22:03,Internet,gebruik,(120,kB),Û,0.01
27/11/15,06:03,Internet,gebruik,(7377,kB),Û,1.08
27/11/15,14:03,Internet,gebruik,(28156,kB),Û,4.13
27/11/15,21:31,Internet,gebruik,(106,kB),Û,0.01
27/11/15,21:50,Internet,gebruik,(598,kB),Û,0.09
28/11/15,05:50,Internet,gebruik,(1337,kB),Û,0.19
28/11/15,12:44,Internet,gebruik,(965,kB),Û,0.14
28/11/15,19:19,Internet,gebruik,(10,kB),Û,0
28/11/15,19:42,Internet,gebruik,(146,kB),Û,0.02
29/11/15,03:42,Internet,gebruik,(247,kB),Û,0.04
29/11/15,11:29,Internet,gebruik,(416,kB),Û,0.06
29/11/15,18:20,Internet,gebruik,(168,kB),Û,0.02
30/11/15,02:20,Internet,gebruik,(234,kB),Û,0.04
30/11/15,09:21,Internet,gebruik,(1,kB),Û,0
30/11/15,09:49,Internet,gebruik,(65,kB),Û,0.01
30/11/15,13:02,Internet,gebruik,(97,kB),Û,0.01
30/11/15,17:57,Internet,gebruik,(293,kB),Û,0.05
03/10/15,15:13,Gesprek,naar,062374XXXX,6.94444E-05,Û,0
03/10/15,15:14,Gesprek,naar,062374XXXX,0.000150463,Û,0
03/10/15,16:28,Gesprek,naar,062374XXXX,0.000138889,Û,0
03/10/15,16:46,Gesprek,naar,615422080,0.00087963,Û,0
08/10/15,12:21,Gesprek,naar,631562787,0.00056713,Û,0
17/10/15,15:51,Gesprek,naar,062374XXXX,5.78704E-05,Û,0
17/10/15,15:57,Gesprek,naar,062374XXXX,0.000173611,Û,0
20/10/15,08:54,Gesprek,naar,062374XXXX,0.002141204,Û,0
20/10/15,16:26,Gesprek,naar,062374XXXX,4.62963E-05,Û,0
22/10/15,08:26,Gesprek,naar,062374XXXX,0.001145833,Û,0
01/10/15,03:27,Internet,gebruik,(156,kB),Û,0
01/10/15,11:27,Internet,gebruik,(3567,kB),Û,0
01/10/15,19:27,Internet,gebruik,(278,kB),Û,0
02/10/15,03:27,Internet,gebruik,(50,kB),Û,0
02/10/15,04:31,Internet,gebruik,(86,kB),Û,0
02/10/15,08:26,Internet,gebruik,(283,kB),Û,0
02/10/15,16:26,Internet,gebruik,(579,kB),Û,0
03/10/15,00:26,Internet,gebruik,(236,kB),Û,0
03/10/15,08:26,Internet,gebruik,(1840,kB),Û,0
03/10/15,16:26,Internet,gebruik,(12,kB),Û,0
03/10/15,16:45,Internet,gebruik,(710,kB),Û,0
04/10/15,00:45,Internet,gebruik,(160,kB),Û,0
04/10/15,08:45,Internet,gebruik,(697,kB),Û,0
04/10/15,16:45,Internet,gebruik,(332,kB),Û,0
05/10/15,00:45,Internet,gebruik,(190,kB),Û,0
05/10/15,08:45,Internet,gebruik,(272,kB),Û,0
05/10/15,16:45,Internet,gebruik,(60002,kB),Û,0
05/10/15,18:44,Internet,gebruik,(17414,kB),Û,0
06/10/15,02:44,Internet,gebruik,(689,kB),Û,0
06/10/15,10:44,Internet,gebruik,(336,kB),Û,0
06/10/15,18:44,Internet,gebruik,(28,kB),Û,0
06/10/15,18:59,Internet,gebruik,(189,kB),Û,0
07/10/15,02:59,Internet,gebruik,(273,kB),Û,0
07/10/15,10:59,Internet,gebruik,(282,kB),Û,0
07/10/15,18:59,Internet,gebruik,(137,kB),Û,0
08/10/15,01:00,Internet,gebruik,(731,kB),Û,0
08/10/15,09:00,Internet,gebruik,(124,kB),Û,0
08/10/15,12:20,Internet,gebruik,(479,kB),Û,0
08/10/15,15:28,Internet,gebruik,(527,kB),Û,0
08/10/15,23:28,Internet,gebruik,(336,kB),Û,0
09/10/15,07:28,Internet,gebruik,(372,kB),Û,0
09/10/15,15:28,Internet,gebruik,(364,kB),Û,0
09/10/15,23:28,Internet,gebruik,(414,kB),Û,0
10/10/15,07:28,Internet,gebruik,(340,kB),Û,0
10/10/15,15:28,Internet,gebruik,(320,kB),Û,0
10/10/15,23:28,Internet,gebruik,(248,kB),Û,0
11/10/15,07:28,Internet,gebruik,(255,kB),Û,0
11/10/15,15:28,Internet,gebruik,(202,kB),Û,0
11/10/15,23:28,Internet,gebruik,(116,kB),Û,0
12/10/15,07:28,Internet,gebruik,(7490,kB),Û,0
12/10/15,15:29,Internet,gebruik,(3241,kB),Û,0
12/10/15,23:29,Internet,gebruik,(48,kB),Û,0
13/10/15,00:58,Internet,gebruik,(5659,kB),Û,0
13/10/15,08:58,Internet,gebruik,(969,kB),Û,0
13/10/15,16:58,Internet,gebruik,(317,kB),Û,0
14/10/15,00:58,Internet,gebruik,(207,kB),Û,0
14/10/15,08:58,Internet,gebruik,(590,kB),Û,0
14/10/15,16:58,Internet,gebruik,(234,kB),Û,0
15/10/15,00:58,Internet,gebruik,(96,kB),Û,0
15/10/15,08:58,Internet,gebruik,(166,kB),Û,0
15/10/15,16:00,Internet,gebruik,(2461,kB),Û,0
16/10/15,00:00,Internet,gebruik,(157,kB),Û,0
16/10/15,08:00,Internet,gebruik,(468,kB),Û,0
16/10/15,16:00,Internet,gebruik,(1360,kB),Û,0
17/10/15,00:00,Internet,gebruik,(107,kB),Û,0
17/10/15,08:00,Internet,gebruik,(1183,kB),Û,0
17/10/15,15:51,Internet,gebruik,(2,kB),Û,0
17/10/15,15:57,Internet,gebruik,(3403,kB),Û,0
17/10/15,23:57,Internet,gebruik,(16,kB),Û,0
18/10/15,00:37,Internet,gebruik,(649,kB),Û,0
18/10/15,08:37,Internet,gebruik,(141,kB),Û,0
18/10/15,10:44,Internet,gebruik,(628,kB),Û,0
18/10/15,18:44,Internet,gebruik,(282,kB),Û,0
19/10/15,02:44,Internet,gebruik,(238,kB),Û,0
19/10/15,10:44,Internet,gebruik,(27,kB),Û,0
19/10/15,11:21,Internet,gebruik,(291,kB),Û,0
19/10/15,19:21,Internet,gebruik,(252,kB),Û,0
20/10/15,03:21,Internet,gebruik,(72,kB),Û,0
20/10/15,08:54,Internet,gebruik,(220,kB),Û,0
20/10/15,15:08,Internet,gebruik,(50,kB),Û,0
